CAN DOI KE TOAN	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	 2015	Q4 2015	 2014	Q4 2014	 2013
Tài sản ngắn hạn###Current Assets	73347312	71194821	71272427	56823768	56921653	51909520	50081022	50785406	43766618	50630009	42158468	41165966	40923466	40410416	35408168	31343570	30288729	27267745	24464172	25002490	18133290	18133290	14353287	14353287	7565139
Tiền và các khoản tương đương tiền###Cash and Cash Euivalents	3874955	6466220	6513220	4300967	7325835	8615715	12315171	12326942	4869248	8840789	5765710	6650161	6650161	4452270	4712595	3209346	3336969	3336969	3317909	3373940	3859710	3859710	2779415	2779415	248981
Các khoản đầu tư tài chính ngắn hạn###Short term financial investment	426977	466223	419223	420865	397289	398650	95692	95692	80577	104353	114334	512510	512510	1003073	1013170	1000562	964823	964823	6187	136592	818888	818888	206475	760552	148035
Các khoản phải thu ngắn hạn###Short term Account Receivables	9349255	5894053	5979742	7758583	6540080	6260106	5621530	4664102	4784754	9246327	6695149	5998165	5998165	7613119	8992277	9884432	9635748	6762178	6820478	6632935	6058946	6058946	3135397	2287316	1288349
Hàng tồn kho###Inventory	58551131	57205793	57197688	43341218	41677158	35706271	31122887	32758237	32988507	31447675	28598523	27128797	26886297	26541883	20030246	16764423	15789642	15636282	13909522	14504950	7158828	7158828	8151085	8151085	5837374
Tài sản ngắn hạn khác###Other Current Assets	1144994	1162533	1162555	1002136	981291	928778	925742	940433	1043532	990865	984752	876333	876333	800072	659880	484807	561547	567494	410076	354073	236917	236917	80915	374920	42401
Tài sản dài hạn###Non-current Assets	18922478	18784421	18700072	17754954	17875626	17751040	19041105	19102647	18628627	8126156	8460711	8300996	8300996	7469159	6547853	6318564	6238346	9124846	8016274	6892221	8437119	8437119	1740424	1740424	1262626
Các khoản phải thu dài hạn###Long term Account Receivable	761895	370739	284856	219814	214972	214537	255404	255404	209211	208504	483148	654402	654402	262514	659966	815256	911972	3941009	2474310	1904481	3309363	3309363	965232	0	6000
Tài sản cố định ###Fixed assets	828655	840045	841693	847872	854752	801362	755850	344565	351542	362818	371656	326609	326609	271068	274171	270612	148823	148768	88380	88039	87792	87792	69039	69039	122892
Tài sản cố định hữu hình - Giá trị hao mòn lũy kế	-220650	-208760	-208909	-200664	-192811	-181730	-164318	-162827	-155002	-144919	-133182	-129323	-129323	-124489	-123605	-117400	-41954	-41954	-35807	-36477	-35220	-35220	-26555	-26555	-21289
Tài sản cố định thuê tài chính - Giá trị hao mòn lũy kế	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tài sản cố định vô hình - Giá trị hao mòn lũy kế	-31770	-27078	-27078	-21825	-16576	-12370	-10272	-10392	-9039	-7916	-6587	-5781	-5781	-3034	-2403	-1674	-1382	-1382	-1275	-1069	-718	-718	-414	-414	-219
Lợi thế thương mại	6629534	6841458	6841447	6968397	7179352	7175954	6355909	6481349	5824981	2830291	2377955	2406227	2406227	2518902	2312543	2374086	2217606	2217606	2495795	2773464	0	1119885	0	102371	0
Bất động sản đầu tư ###Real Estate Investment	3799487	3798442	3798443	3064126	3064386	3028065	3056785	3499360	3456193	3414304	2950298	2944617	2944617	2591962	1901762	1943904	1945013	1940784	1843268	1472872	1082786	1082786	394784	394784	645568
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	5738078	5744314	5744314	5602943	5687560	5653956	7702904	7556238	7896290	431404	1409552	1042973	1042973	1040657	649530	241634	374786	350498	642309	232524	1581878	1581878	20880	425880	62522
Tài sản dài hạn khác###Other long term assets	6956911	7180794	7180783	7369081	7587952	7606133	6839982	7016901	6358919	3396680	2940276	2971363	2971363	2897491	2655753	2747643	2572552	2466790	2679011	2928076	186264	186264	102342	662574	425644
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	92269790	89979243	89972499	74578722	74797278	69660560	69122127	69888053	62395245	58756164	50619180	49466962	49224462	47879575	41956021	37662134	36527076	36392591	32480445	31894711	26570409	26570409	16093710	16093710	8827765
Nợ phải trả ###Liabilities	67573679	65518169	65516623	52088736	52604001	48911229	49152327	49415451	44021809	41289593	37147830	36210571	35968071	35416291	29669498	26949082	26480186	26349803	24862362	22558479	20475199	20475199	12731365	12731365	7388997
Nợ ngắn hạn###Short term Liabilities	20375938	18809634	17992942	18360395	22772025	26809399	27995143	27907618	28472873	25403727	24824108	22658196	22415696	19981871	16942972	14624290	15011224	13627959	12225603	14756040	13354624	13354624	9906274	9953544	4923607
